,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_wAll,Linear_w200
1189,1.0189878270798165,1.0165887261995437,1.0149804048224869,1.01679923631963,1.0165045654277411,1.0167934426073777,1.2966280644041293,1.0961857441482672
1190,0.6777656889058287,0.6791855713443236,0.6805980791392153,0.6813875182244645,0.6846812173502099,0.6882396799726119,1.0179349987858413,0.8251624462536893
1191,0.7468588675605409,0.7416158470269817,0.7409714480379157,0.7424854023233093,0.7467815532405309,0.7467426644374703,1.2375971847184668,0.8646852285761334
1192,1.0620315657066195,1.059415526500181,1.0609900609070544,1.0597730520201618,1.0598958998952583,1.0594784931964711,1.4100810028927608,1.1279985718285697
1193,0.8873146883768955,0.8886790219580437,0.8894593739665546,0.8934737356517687,0.894924398836427,0.8949965106586484,1.1179215097623665,0.9989044676726996
1194,0.8912045604449542,0.8974284922254984,0.8976716680106303,0.9000051737806839,0.9029344259758951,0.904592419352382,1.3130316211151802,1.000851668709782
1195,0.8256776767739341,0.8199027132047951,0.8211248767945167,0.8182767532219858,0.8160098245952957,0.8154214275979629,1.1552364690041017,0.896414349053677
1196,0.9945451567425854,0.9916593191804352,0.992525092166041,0.9916159183492673,0.9920117109844716,0.9920005642907145,1.361611183447717,1.1192079471119636
1197,0.9721505608226509,0.971417259879662,0.9717056043353106,0.9725962617770517,0.9727798198384825,0.9730675228489662,1.3221367428998427,1.0616295154185935
1198,0.5148247131662158,0.5190148415872141,0.5210454868879206,0.5206748543729052,0.5156676366899022,0.5191480533992696,0.5953873695373292,0.8656772802955782
1199,0.7709932767854685,0.7743014794488899,0.7711315311264285,0.7721297715524817,0.7727867208394863,0.7729652311126399,0.9410207391874726,0.8879279650710745
1200,0.7976855942858253,0.7990965214662069,0.7980943328215065,0.7985514425267631,0.7986734842344484,0.7987068074987036,1.091151477035474,0.9095717771012488
1201,1.0947918251251372,1.1030771441043317,1.11203106712575,1.1051616106475095,1.101406022068719,1.1005629901408651,2.066539709302196,1.15190062305757
1202,1.1198001225076342,1.122309985289069,1.1175578100951178,1.1139289668337418,1.113146168404996,1.1111174536425301,1.5090355854163275,1.1123066217735122
1203,1.061689540074396,1.0649915064132929,1.0587451582482512,1.0426472507263962,1.045756345241772,1.044881583523682,2.003868135320646,1.0979619184936924
1204,0.9084343539091304,0.9073519614864196,0.9013356217343542,0.8984347452545064,0.8983205412861326,0.8962469670842709,1.115116659757719,1.0172258806710328
1205,0.9899514353475327,0.9785748330854399,0.9771472382828633,0.9766428410257589,0.9764545331066764,0.9760230327189161,1.2466334661473517,1.0444009633392817
