,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_wAll,Exp_w200
0,1.172727138419342,1.1216548904382646,1.0878185619686753,1.064726983393929,1.071162129296373,1.0583835983277432,1.3163828026093856,1.0531671389017163
1,0.9182609706120674,0.9401468328119899,0.9720294257044721,1.0118831060122302,1.0432483094434506,1.0261802069883381,1.1394752000694288,1.052613455781756
2,1.2237896612017445,1.1746315034675512,1.197510576982534,1.2013827562058046,1.1714608831018891,1.1682741570158204,1.4146132425188316,1.10455409287666
3,1.316662002952733,1.1664976948534886,1.127196579776136,1.084032645058674,1.0410435733778063,1.0423578960732593,1.6050617041442594,0.9540723070690638
4,1.5236438874487386,1.2021326613539638,1.2117134592876395,1.1640837279908052,1.1450009106494572,1.1410367761215503,1.00835417108385,0.8594164214352034
5,1.2689701826430644,1.1825969182534455,1.2566719199847265,1.2717800560181474,1.2401357453362265,1.2383047998218941,0.865180192557398,0.8319867604724309
6,0.5843893681127079,0.688597860786313,0.7787640325322701,0.8974377146767301,1.008012985955429,1.03155794062102,1.0216705656359104,0.988109273899571
7,0.501151971847171,0.5259818558289554,0.6094946005482471,0.730555769357719,0.8858688497233163,0.9843762194414593,1.8359112866701808,1.0774411764216432
8,1.180572261718551,1.0046970006308036,0.9791515548035034,0.9500316081351617,0.9284053047767237,0.9159357242037449,0.874541776661372,0.9079752951989348
9,1.2304804881252986,0.9935890551540353,1.0006410761033242,0.9628977605823122,0.9374535916365527,0.9336331421272448,0.8188129497909066,0.8908470959013848
10,1.6366460781536156,1.1876889906032773,1.1400522896800909,1.083494847930652,1.0294498965015475,1.0153336528182284,1.34586991287436,1.196791856540405
11,1.4749330214046723,1.0992014915983634,1.0716137610613103,1.0539425226839274,1.034456602613312,1.0136792515807505,0.8932218962544123,0.7755220117336727
12,1.805453501348739,1.0872088758793814,1.1897625576910387,1.0841506927899365,1.0179430683655895,1.0057454380382853,1.194218032759431,0.9818053935280188
13,1.5092884654670342,1.193973328155675,1.1848532272696217,1.138999611447133,1.1020760606101374,1.0875001995377205,0.9350498383382876,1.1038667199231744
14,1.500633451157448,1.1003701056242619,1.1428690067480132,1.0793500501715063,1.040200650067864,1.0303649831658555,1.457489703611456,0.8528411797096002
15,0.8245194277608686,0.7774576218451927,0.8534247049168603,0.9802135130413641,1.1139188840725798,1.143001488471441,0.8064491118006414,0.7046805242402451
16,1.014577851111653,0.9214509746709741,0.9677801244633666,1.010670748495964,1.0527907889449302,1.0672319905734513,1.1584232853020382,0.945526027256959
17,1.187705260101498,1.086232133151661,1.0637990459165607,1.0387626221618211,1.023327468682877,1.0157350816959794,1.3789789230527216,1.0249425143288058
18,1.4871302552995007,1.1178524211308052,1.1393550235973502,1.0740072120274229,1.035899241645403,1.0272119114746592,1.0479467970325949,0.9849124621707124
19,1.209485240635618,1.1763208415650483,1.1927940748451538,1.1675040562017507,1.1772943120773232,1.169506500207737,1.1890085244029438,1.068008712456159
20,1.1138728309263979,0.9779977913876725,1.0331506932462735,1.0697650322809404,1.1551927107947697,1.1665222785874902,0.774890567083648,0.7447535926438978
21,1.5131202648991504,1.206283099772049,1.1816398431120854,1.1452624454559197,1.1116923041876652,1.1077138296229485,1.0439216122619397,0.9190720755122808
22,1.4161492544617684,1.0704401912713906,1.1602957448889515,1.135074577868193,1.1059494000232766,1.1047596164685745,0.6988957101901725,0.6746507336781135
23,1.7902339056620078,1.1965788118432519,1.1968243725986623,1.097425772129611,1.05399817932227,1.0472849136931965,1.6668898066357547,1.119417427112802
24,1.4526673759055073,1.274228830103505,1.274083263437835,1.2199236420208774,1.2070498951382898,1.204565337147771,1.117485964562914,0.8389293743641238
25,1.7062453854372899,1.3119273684993646,1.223417904523034,1.163011155623551,1.1027444201894363,1.0952098063539537,1.0406933604304192,0.9473551621693752
26,1.7391491871470546,1.0618555810152694,1.2365497165017523,1.1375045194121454,1.0561469936549859,1.0535621460458695,1.2939330447087207,0.9927882756970132
