,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Exp_wAll,Linear_wAll
0,1.1672082844550822,1.129418262587895,1.1009521248898093,1.082807985571719,1.0848642279375111,1.063319771791894,1.0902826025124712,1.4287482745336662
1,1.026885319287123,1.0276118444833804,1.0521732172663127,1.0883762995080208,1.1152479111713691,1.0974959738916652,1.055473356569998,1.4135071827409948
2,1.249719361510133,1.1875345890943507,1.2070696767666682,1.2115811015909124,1.182347657669306,1.180033041814817,1.1558956286329904,1.2028382698482196
3,1.3137165427287472,1.1808921530691883,1.1367357702029341,1.0920219422318354,1.0465914036871868,1.0522580804642339,1.039539768307746,1.2557375416362393
4,1.5749820548254758,1.246679533000741,1.269511438259489,1.2318178186057196,1.2258221582037836,1.228118641946962,0.7238509100431365,0.7931551809422485
5,1.4225413719273647,1.2936311855355502,1.3796185927867852,1.37730397315592,1.3375050626809093,1.3315400618965256,0.8736040812632366,1.173467631941132
6,0.6673602121631833,0.7847982308239225,0.8876951876810975,1.017648535994555,1.103994392431868,1.1283833439301425,1.057834985449326,1.160404342043069
7,0.5222185194528223,0.5958904744477089,0.6632885505668059,0.7635041514427381,0.8975444422031265,0.9857904919000826,1.2031495192435977,1.2433225523849318
8,1.211706145475079,1.1052234256734974,1.1151963015959556,1.1218214411392948,1.1230465881185123,1.113047402823231,0.6885312738838201,0.9310664604295676
9,1.5139824453691466,1.2074189989937394,1.23271421848562,1.180651815086747,1.1376742732357885,1.129418139188552,0.7189876545144692,0.6901503417534536
10,1.60464122807292,1.1994114901728143,1.1683197659641023,1.1197702397323128,1.0717511311900114,1.057288107897761,1.118728933932494,1.1926667345690474
11,1.8418976672070766,1.3905031818313256,1.4310012683861384,1.3800161935489947,1.3334100754286569,1.3179715509633165,0.5110826654338948,0.6418270854636126
12,1.8406276630089966,1.189125724038456,1.2562094601809413,1.1591781069724838,1.0927113701655229,1.0827829942485594,0.9552498798514408,1.279982457230424
13,1.613819219092664,1.2651390432249072,1.2645209462858569,1.22553771700778,1.194644490446049,1.1877484906436655,1.012149853032532,1.0408739432202316
14,1.597152355904169,1.1791275033316133,1.2204592240202343,1.152227483373276,1.1134277632430576,1.1022066046049144,0.8962694715342352,1.1646031019005136
15,0.983982499022574,0.9018735682215321,0.9654515853213447,1.0800784659386207,1.2000832935491474,1.2199040205006357,0.7107376277340626,0.7759731059665996
16,1.1524164146021803,1.024777515661995,1.0790797259409841,1.1088155713956735,1.1401739622769467,1.1521358013659189,0.9252569454724404,0.9999427805519332
