,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Linear_w200,Linear_wAll
189,1.2890507698485,1.162540972072294,1.1316583568413565,1.0855073673857871,1.0400755383923632,1.0266919828277024,1.0518915297968845,1.31665378566298
190,0.9328410758205499,0.9224759998559319,0.9436699419237673,0.9796764299290641,0.9991944175880336,1.0012688077277885,1.0290023428394668,1.3797264096264632
191,1.1430798655599734,1.0464927390643994,1.0293872164771616,0.9900356717990613,0.9541119160481886,0.9421721791795836,1.00984018654901,1.7278110679129282
192,1.2097200248202313,1.1295659954113986,1.0820152600304334,1.0590172819416153,1.0403426889290563,1.0184479199161485,1.0460964001298008,1.5166449991563835
193,0.8253175490250214,0.7857677324710552,0.798415125178778,0.8358465650076389,0.8592624199089147,0.850808871163252,0.9323310546425996,1.6347618974431075
194,1.2147673197971995,1.1345208965817761,1.0905358532719551,1.066858459805646,1.0404815770497369,1.0333336537012403,1.0896749509931916,1.3962678857541422
195,0.7184733079406352,0.6728085405322111,0.6755476576620991,0.7002476605044576,0.7284653282993248,0.7500365887208624,0.8301205733540216,1.147988297012096
196,1.0224681911687588,0.9951618788971012,1.0156169499564265,1.01337215294302,1.0551666135546502,1.0797065789241411,1.0249848172873086,1.270846288036959
197,0.8908886685389008,0.7975783944298417,0.7932899733529195,0.7974387799759487,0.8220618022308397,0.8176270585122464,0.845795638864049,1.6259210543250275
198,1.0684744671544713,1.108404727935766,1.129868119847477,1.1064571633412519,1.0537614760695444,1.0583362478511498,1.0872478935542482,1.4768835823791289
199,1.2516201314526738,1.1024155645298097,1.053333593735686,1.047491924083476,1.0300877080946815,1.03007525204234,1.0610708303498126,1.2930239514047042
200,1.3108116372743925,1.1032966057197653,1.0713223528679978,0.9980590220321276,0.9546122509911251,0.9493434536771632,1.0521573749777706,1.555256980169575
201,1.3756049643602188,1.2081142656785255,1.2195329212921675,1.1655441354013074,1.1208670148496942,1.0989380686371926,1.1869639720429652,1.390121427427024
202,1.1171300325428275,0.8944152620314364,0.9102940686177717,0.8684372921998468,0.8436620068104551,0.8292604695926367,0.8939797808047396,1.6901931580517475
203,1.244103818541028,1.1084695859082874,1.1069167126762327,1.102563064050835,1.0479469099448369,1.0255669960171296,1.0415218887971416,1.7478017252103129
204,1.2590226897145067,0.9717162059529689,0.9690113750799035,0.9248655364283246,0.8907420014706151,0.8797538087261471,0.944836744126654,1.3617561456912022
205,1.3328339260050142,1.182150227902064,1.1430951323336942,1.0865292302989296,1.0361469630518427,1.0127345525785594,1.0442974042291562,1.361189080453528
206,1.4095327725306819,1.0334958145614905,1.0638618296888043,0.9944679348963149,0.940368520675583,0.9210556955241047,1.0237090142121616,1.4421913499423218
207,1.3316751226805101,1.0433588754348266,1.002463885935585,0.9494350966987076,0.9113509758515836,0.9000715469773289,0.9774248969803412,1.326762971548323
208,1.3891229328998733,1.150539489152463,1.0721835948700154,1.035409246743927,0.9891586581914594,0.9864504778456779,1.0202813419378447,1.3227433335679075
209,1.3046009126911957,1.1304144437032155,1.0943740187561206,1.0599808768342718,1.0362072326367593,1.0157649482571445,1.0457444125660655,1.4786686647227834
210,1.2974554492334571,1.119936652115393,1.0669943630627954,1.0308823273954772,0.9987360077701964,0.9884431142429468,1.0303486740646912,1.641896790692519
211,0.7751030031711932,0.6612944535594141,0.6682609588474159,0.6425964367219951,0.6273304008992201,0.6309338995175288,0.7159770254126048,1.26525376264008
212,1.1518706807349777,1.1200018961558225,1.108459883106762,1.0781444725737008,1.0454262222930963,1.0515599706304009,1.1117265343579537,1.4560026827312045
213,1.2984168822091944,1.146120117477799,1.12643617500941,1.0805463162727222,1.0543924588538358,1.0676641872593597,1.1209833924461168,1.5382438515217782
214,1.3372720109192173,1.1999189374989703,1.1659465746456,1.1643499827663353,1.1465998351178137,1.128857694087674,1.139871269144557,1.3535079337517524
215,1.2533768614108354,1.011035576109757,1.0331079912901722,1.0010449492912565,0.9684149892987169,0.9577497105077766,0.9677768919390742,1.737460893189505
216,1.3747529048022489,1.1058616356950461,1.102097867330208,1.0993051013274369,1.0725093955630394,1.065554830998436,1.1130607594474424,1.4113494028689104
217,1.6442088953183214,1.4338459677008346,1.3655976900308109,1.3095897445105646,1.3012261041695128,1.2585462791559994,1.265751514205289,1.7879723865026194
218,1.0819183829545682,1.0164756474509946,1.0187218223349943,1.002584684348618,1.0172838195461322,1.009846445135589,1.0417583753431137,1.425557155272715
219,1.0205139444761355,0.9747152293969246,0.9731907300555082,0.9823834660367006,0.9802687263642612,0.9974350763132579,0.9933531998201768,1.4543285763623297
220,1.464338777449074,1.0673869570193433,1.0171843906177687,0.9528089074254468,0.8990331120138522,0.8872027158850008,0.9583719034832962,1.2973006407505023
221,1.2816045950360373,1.0474934216585643,1.0105964361721442,0.958642592038613,0.9254009074575852,0.9181290831111893,1.0042367988126513,1.3258083863372352
222,1.386985373802097,1.1714685839501948,1.161587581170067,1.1120172449779657,1.0671934036360384,1.0457069060027897,1.0945109584577626,1.4836006856119937
223,1.1552178443336578,0.9423829862836909,0.9289597883763261,0.9054285921735783,0.8793271024383075,0.8786722376449684,1.0618803867102984,1.0864971743064042
224,1.177479853159593,1.1167841573541457,1.08513278177117,1.0590415345305544,1.0529969718719059,1.058633792881122,1.051784001301682,1.738603726805218
225,0.9758247045649091,0.9218407082533734,0.945833806109559,0.9787471711285951,0.9955305108726165,0.9483578195233799,0.9793094587607628,1.679224497218394
226,1.0740733169073933,0.8768983165302959,0.8752162669012927,0.8441990737658198,0.8275659681944187,0.8119931471462839,0.9336603367973664,1.2033569160937687
227,1.306352851826503,1.1719299816930229,1.121646716561309,1.075916587247114,1.0297241928881584,1.007758441321762,1.0936023338825245,1.5719200599010277
228,0.7745912650155341,0.6421722655453557,0.6625924030685405,0.6331378117945102,0.605554497486144,0.5946070920712969,0.7027864489864035,1.0096981004175063
229,1.3176233931067207,1.1402804308816386,1.1199352101009676,1.0756118232123695,1.048157135048413,1.052533159138327,1.07998332200659,1.6428067339644534
230,1.5859546448205355,1.2154961366461212,1.2077022304255902,1.1420099640568009,1.0867321556167893,1.0681469078035004,1.108533812250009,1.6214666052525075
231,1.2020190037027112,1.1318242592656766,1.110839674695415,1.1131322471588487,1.0721045013487183,1.0506849426505946,1.0518886023975784,1.4783750687776926
