,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Exp_wAll,Linear_wAll
784,0.9826600725681964,0.9682203555158044,0.9619534092499884,0.9614065260921889,0.9645961336482494,0.9662355069155432,1.077557660833517,1.2303143646889003
785,0.9136245528572942,0.915000207670357,0.90559922642472,0.9041715454946201,0.903552766829422,0.9002766569128764,0.9473136847293804,1.963253901798606
786,1.0748212171285654,1.0666589655906116,1.0667949455810506,1.0583565742347192,1.053949311162133,1.0474033953817794,1.155044717969823,2.511534435314792
787,0.6042760499609802,0.6020951363629246,0.5967387507889869,0.5963223073588582,0.5978676637092545,0.5966579631510737,0.7395673650440385,1.2940776822205586
788,1.0275690314377286,1.0214102785454537,1.0203835977499172,1.0181157611134362,1.0150088725950046,1.0144341633012834,1.1558679048419829,1.334037109166448
789,0.9798715227568063,0.9679479858025406,0.9669373388849091,0.971695006096994,0.9716051384167338,0.9693687470853802,1.2429283993103195,1.4109372700127256
790,0.5946678879744244,0.5961977625527409,0.6007072525717777,0.604510581547669,0.615580048033225,0.6208376466516468,0.7276601324710333,0.9076114675143648
791,1.0410980621645842,1.0314251790724145,1.036822146843721,1.0336746685167812,1.029167064672378,1.0283821053928075,1.1711471266847555,1.3415888437492611
792,1.0586259406393443,1.0565081507783955,1.0569596485535462,1.0487346232732015,1.0473410184795067,1.0457843922471945,1.240356599647959,1.469784850202997
793,0.4941983277652659,0.4950768432013385,0.49724082579382683,0.5056809264841593,0.5148825272737148,0.5177166676134579,0.626954211142301,0.7507671925535659
794,1.037651737542267,1.0250924161802182,1.0227567887842817,1.0208496170128376,1.018895087693644,1.0184999972383133,1.1445016004037338,1.270782253599579
795,0.9767858688814226,0.9703397513265746,0.9639322972891501,0.9677493040192962,0.9715205238795064,0.9702480404425851,1.134514693723019,1.387151507718806
796,0.9882889742586681,0.9748323365659973,0.976478911710085,0.972113491691737,0.9707542351841474,0.9701577778100735,0.996374455095802,1.5233040344628432
797,0.7664860047743924,0.7625378784622108,0.7621546437813883,0.7588555699809675,0.7624439970479377,0.7615139753361327,0.8930677102892592,1.2042943202196636
798,0.9215748584085797,0.9190268577510585,0.9216493765549891,0.9198919191456093,0.9219493327276802,0.9202215211177945,1.0812446079575615,1.1210147262854868
799,0.8335725254966923,0.8395048279495194,0.8358851470949529,0.8356887805365136,0.8341547211960761,0.8333846709420398,1.0693600739621418,1.1372262653220262
800,0.6855110581722532,0.6799843184147961,0.6786470100147477,0.677352520323037,0.6752455007428557,0.6748501083437799,0.7494016227369906,0.9956194873122608
801,0.8577633483792376,0.857159742938086,0.8628906252136515,0.8548171987236185,0.8584766283209804,0.8595620102710168,0.9821170531023448,1.2437341684690282
