,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_w200,Linear_wAll
82,1.0334478065846704,1.0343084952614703,1.0353280954988897,1.0390199019410213,1.0414584751035811,1.0411723364999872,0.9821092659642916,1.0127673279937075
83,1.0952846787566612,1.0968807720968599,1.0986556152916467,1.096853340325501,1.0978276219378953,1.0980135924035703,0.9769270288495798,1.0868048453349113
84,1.14442838080207,1.1418528681177715,1.1431140592047626,1.1449146653254934,1.1472858933924053,1.1478787658732512,0.9165386401487964,1.0045361920249127
85,1.1992262173246855,1.1863199794101327,1.1874100481494059,1.1864763071662916,1.184551945918801,1.1845418699144608,0.9944696735876044,1.2673725076850313
86,1.190637934678671,1.1904629104185787,1.1887144645464078,1.1884611758480788,1.1914412751694843,1.1913787266894924,0.8350889029758242,0.8749531857892192
87,0.9732466363367485,0.9737658649989677,0.9749295288769771,0.9729781435798055,0.9743743772525447,0.9750147631999971,1.0596966783370316,1.2788224605557887
88,1.0689839587394425,1.0576823333845184,1.0552701596733194,1.053398662691047,1.0528791417979344,1.0525135372351107,1.1366198606252025,1.464289555131992
89,1.2464423398296125,1.2460610382441142,1.2455514249957322,1.2460896038379412,1.2470938626777834,1.2471792168636802,0.9446973034015956,1.1612731361057136
90,1.1304494125007065,1.1235112944839238,1.1237927971703634,1.1237923425327485,1.1247651716521339,1.1246610601126,0.8401757609868593,1.0020715372518658
91,1.1245362066198012,1.1213081420224102,1.1224602239254342,1.1232611096991625,1.1232247881690969,1.1234291529864902,0.794090207466627,0.8220530613121589
92,1.0706153448637334,1.0750116068745252,1.074300364534507,1.0740339028742905,1.075344823819206,1.0756477452849205,0.8707615400140041,1.117774037166914
93,1.1560102459228176,1.163084019905626,1.1609518305677793,1.1601097387337593,1.1597429159186554,1.1592924615360654,0.9902416008355852,1.5162905700597438
94,1.320745174491296,1.316409479773316,1.3173188795059785,1.3164946742684032,1.3151162082842751,1.3156667824225494,1.005616444892159,1.5200239140236318
95,1.1521596276333466,1.151837439869398,1.1504597243425625,1.1514360463950346,1.1531582589046703,1.1531830121267452,0.9241402143477022,1.0364024369530969
96,1.3978936041694976,1.3900646395614946,1.3898346098663115,1.3915239194353584,1.3939689274930294,1.3937974334441692,0.7952456521057064,0.7143442704929245
97,1.0321509380619074,1.030167322448019,1.0332723352437603,1.0346470485017625,1.0359934692873527,1.0373153265686532,1.0688665086663856,1.3668977029165268
98,1.0244633459517232,1.0238113786544587,1.0257172475129457,1.0237231480000233,1.0229184967983067,1.0224383057067166,0.9893505297767682,1.265112842205588
99,1.1306398890796412,1.1122724301236648,1.112984101587982,1.1136636767824897,1.1128317536545138,1.1132292330758333,0.8954712085119997,1.0167767762823012
100,1.3450914828180407,1.345000138961969,1.3471446310328024,1.348106606405213,1.3493912430153174,1.3499137128534924,0.6274238235192802,0.6241982574672639
101,1.0032622640917506,0.990997692700012,0.9875506192552603,0.9869691122787011,0.9837235476231273,0.9829728724615938,1.114754948820432,1.2699644965895576
102,1.1287586853910008,1.1296522680426508,1.1309432858386592,1.1336495267778048,1.138128862348694,1.1399245945685004,0.8141466122460495,0.8911754513098845
103,1.1556798798423402,1.1571228272532443,1.158675058302191,1.160339355586024,1.162540647795696,1.1630725716775567,0.7586315651457741,0.6684041908184406
104,1.0008723690123593,1.0026683526825968,0.999123212928822,1.0004713961708975,0.9985617759458003,0.9988229031439366,1.0198538558856969,1.1920253251275938
105,1.4820477088780317,1.4760919701991,1.4762039474797017,1.476356907357214,1.4761667273966323,1.4758936576029442,1.1100938863599574,1.5558701801545232
