,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Exp_w200,Exp_wAll
0,1.0918864808447113,1.0962082971550964,1.0943054891430894,1.0955704985410886,1.0962923165147471,1.0969042258089499,1.0531671389017163,1.0902826025124712
1,0.9869236781208524,0.9926476778461965,0.9962089066097344,1.0018169094642952,1.0059666423419193,1.0063516134643833,1.052613455781756,1.055473356569998
2,1.301806606871311,1.2969900147663496,1.2977819717494286,1.2994656394994542,1.3001291601368172,1.2994612954906049,1.10455409287666,1.1558956286329904
3,1.1883148555794296,1.187587733898974,1.1874238060956568,1.1857707472799253,1.1855422541957117,1.18573350325162,0.9540723070690638,1.039539768307746
4,1.1435412104175318,1.1334851502417957,1.1324552053895889,1.1306442095738165,1.130164306399221,1.1297277706976923,0.8594164214352034,0.7238509100431365
5,1.2427611162254324,1.2396152006302825,1.2396259921050041,1.240447187522415,1.2424908278513518,1.2418383724155067,0.8319867604724309,0.8736040812632366
6,1.1322565527950692,1.132205420806816,1.1330384338408055,1.1350455185248427,1.138296682331902,1.1407539773417372,0.988109273899571,1.057834985449326
7,1.0638712154811827,1.0588008234605129,1.0589263206910597,1.0588087633261005,1.0594350760343514,1.060348064055662,1.0774411764216432,1.2031495192435977
8,0.9604640703687477,0.9304129927943143,0.9304682877285578,0.9301693470015969,0.9302367818840093,0.931702095516528,0.9079752951989348,0.6885312738838201
9,0.9829105853664806,0.9775583581956787,0.9796388334430209,0.9824880940567076,0.9828033301559835,0.9853801321533869,0.8908470959013848,0.7189876545144692
10,1.0434080379528652,1.0187234109084162,1.0177593257168542,1.0149185518797517,1.0118547723593947,1.0097580131996735,1.196791856540405,1.118728933932494
11,1.2171699755700924,1.2143340819697548,1.2160568847453233,1.2189167526187998,1.2211708396589125,1.2207581560834613,0.7755220117336727,0.5110826654338948
12,1.4536904855588006,1.4342772377515405,1.4363721410496513,1.4340853439282255,1.4337395484688749,1.4339720968733338,0.9818053935280188,0.9552498798514408
13,1.1304796284442262,1.1092800806254413,1.1049797293528443,1.1014496011196568,1.0979242646931577,1.097671184278511,1.1038667199231744,1.012149853032532
14,1.2614712253718534,1.255037960530072,1.2550729387947996,1.2553940406812911,1.2556082113883438,1.2553953004869434,0.8528411797096002,0.8962694715342352
15,1.2667465886241471,1.2610090449306388,1.2617480360348916,1.2614455283276689,1.263190964969415,1.2635027193429336,0.7046805242402451,0.7107376277340626
16,1.1498631911203463,1.141584099110363,1.1416679570516641,1.1414582783163065,1.1418537717203014,1.1425249706061427,0.945526027256959,0.9252569454724404
17,1.0093582277071749,1.0085682490988155,1.0092593308377331,1.0088001031607108,1.0098225694590515,1.0101772953969461,1.0249425143288058,1.1140642251076782
18,1.0888189785955265,1.0817242028125973,1.0815845184506787,1.0809233610971336,1.0833814676493732,1.0842237742811613,0.9849124621707124,0.9876366657662188
19,1.1217930281066055,1.1147560760454305,1.1113512024272734,1.111267989280723,1.111207466772535,1.111254863506915,1.068008712456159,1.0985456445500412
20,1.250500896501282,1.2393850400341517,1.2425194213578918,1.2444345938775292,1.2453951506750205,1.24544418970819,0.7447535926438978,0.7006989000165537
21,1.1152676970722468,1.1187649183885449,1.121180382221181,1.120291228386176,1.1198403641212107,1.1198148459118111,0.9190720755122808,0.9463491313824758
22,1.2148676425838525,1.2148236844279796,1.2163777495689976,1.218675984194263,1.2215979050579913,1.2226401381827574,0.6746507336781135,0.5495760431967813
23,1.318176465012936,1.3039377793017148,1.3022753664138347,1.3045940469679298,1.3084668199614689,1.3107122576591028,1.119417427112802,1.25962467939419
24,1.2795026353919174,1.2809092273900327,1.2778036169484766,1.2767155403937895,1.2761219555916434,1.276248474216037,0.8389293743641238,0.8966354285996435
25,1.3480001278548646,1.3490648124616904,1.3488020319219514,1.3476015631325957,1.3483552403193055,1.3482510156958654,0.9473551621693752,0.9393271147465244
26,1.3436475327907798,1.3362353155545648,1.335904239181389,1.3380401872465861,1.3403620287290217,1.3414525005619053,0.9927882756970132,1.0384411417470252
27,1.3107435728197385,1.298389796978415,1.2995861209621717,1.3031999479979839,1.306477649797991,1.307494030736794,0.6770686197114044,0.4832612207825942
28,1.2893300211180923,1.292082882242014,1.2902803772001339,1.290534569097906,1.2906047540600505,1.2902727347459193,1.047912584944833,1.1511453643108869
