,info,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,No_weighted_LGBM_1_RMSE,No_weighted_LGBM_2_RMSE
0,Plain_w200_Plain_wAll,1.1798691341166347,1.0356587584390113,1.0231992820031428,1.0011638674541872,0.9797804669501948,0.9711901094753066,1.0261048165342148,1.4738198784024106
1,Plain_w200_Exp_w200,1.1751547974522718,1.0270223900197895,1.0226734451524084,1.002611949679791,0.9839527448491089,0.9784560155514067,1.0261048165342148,1.0695833568973294
2,Plain_w200_Exp_wAll,1.1811681964054883,1.0344526069717026,1.0233344465113674,0.9989375613567019,0.9765333482559371,0.9687862913097709,1.0261048165342148,1.1252475829557715
3,Plain_w200_Linear_w200,1.1789425472092778,1.0291577162886447,1.021223390376657,0.9961643075620037,0.9727520482640668,0.9643431789175699,1.0261048165342148,1.0203971313806417
4,Plain_w200_Linear_wAll,1.1788633269143518,1.0347816363541746,1.0199057205556832,0.9966143995261463,0.9745290597305236,0.9659541363283782,1.0261048165342148,1.3983270588253582
5,Plain_wAll_Exp_w200,1.1801306374279177,1.0460137158130056,1.0400575852827256,1.0260943828690356,1.0106007809176105,1.0061480493220678,1.4738198784024106,1.0695833568973294
6,Plain_wAll_Exp_wAll,1.2002535016975895,1.0745076910059803,1.0582039788096962,1.0337470169691227,1.0075777313607972,0.9983570514225221,1.4738198784024106,1.1252475829557715
7,Plain_wAll_Linear_w200,1.178807356110533,1.0356112386022653,1.023702807786855,1.0025385336160684,0.9811494454936089,0.972728935543303,1.4738198784024106,1.0203971313806417
8,Plain_wAll_Linear_wAll,1.2416754621090167,1.1064699295542133,1.0779724590170947,1.0447208446686775,1.0117089946461186,0.9984157530273167,1.4738198784024106,1.3983270588253582
9,Exp_w200_Exp_wAll,1.1960784733639998,1.0465707987546395,1.0384912994655568,1.0188144081535833,1.000696240141138,0.9960105468965352,1.0695833568973294,1.1252475829557715
10,Exp_w200_Linear_w200,1.1780653784106503,1.0285342847740944,1.0237460152256297,1.0032452210256906,0.9841420779290446,0.9786384133465005,1.0695833568973294,1.0203971313806417
11,Exp_w200_Linear_wAll,1.1772203725165702,1.0426812811393424,1.0346150346482503,1.019909119671621,1.004344135928164,1.0000956883400458,1.0695833568973294,1.3983270588253582
12,Exp_wAll_Linear_w200,1.185124193056491,1.036032023503613,1.0244742262593467,0.9998498211800265,0.9770810068509672,0.9693291636777254,1.1252475829557715,1.0203971313806417
13,Exp_wAll_Linear_wAll,1.1989223034771586,1.0707944226132624,1.0531517831865913,1.0278035008836168,1.0008836106602605,0.9916188312488943,1.1252475829557715,1.3983270588253582
14,Linear_w200_Linear_wAll,1.1778207527951357,1.0344227321918402,1.0200942148963983,0.9976411847243581,0.9755600493511686,0.9671849046531947,1.0203971313806417,1.3983270588253582
