,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_wAll,Linear_wAll
106,1.331402291093583,1.1718795757629186,1.117676408470253,1.0693111205786783,1.0166929474985873,1.0086641192546562,1.6070652940446064,1.276281013956
107,1.0966472587364935,0.9792909250464311,0.9549034164753244,0.9341782986076117,0.9097968816392137,0.902030440399535,1.4783344225169333,1.3725232535721423
108,1.0220860028270757,1.0521828351691775,1.0482483522272523,1.039920982375007,0.9988053970429344,0.9838974631287376,1.5697589007174506,1.404939240499045
109,1.1969228329713475,1.1377601679774454,1.08642734139414,1.0458165881921864,1.0091816433311385,0.9934708969228416,1.546014264327047,1.4038544397271775
110,1.3993727078695497,1.2417669293392566,1.1811800119283058,1.1181121346822434,1.1001228459760315,1.0781581506213112,1.360295949122758,1.6239037699265917
111,1.2489825582427987,1.0158965513695437,1.018237092639549,0.9674278677460381,0.9403206062192655,0.9262633226070595,1.2220644544956651,1.2916714883750786
112,1.0198739452194359,1.0311335664510208,1.0702669693004383,1.1290696661025217,1.160198985014397,1.0993410139079984,1.4238233687214523,1.6403840903836475
113,1.0602620579884614,0.8885998042285868,0.8681735314941924,0.8359240116498217,0.7975626482478675,0.7913639633458793,1.3449467020455603,1.168729541512249
114,0.7155791436843105,0.7642657902117624,0.8104765433480313,0.8615184679821395,0.8522339205756693,0.8160798346024771,1.2394207793653325,1.1371523853089005
115,0.6809140539785044,0.6930584262306996,0.6909109783962442,0.6950582622301928,0.7279912982026397,0.7425740730072254,1.260778023380096,1.042660764662778
116,1.2186975979218868,1.1769318745314672,1.1875177956423666,1.1795651903445472,1.1250471215410858,1.1055121572710058,1.4309149734702962,2.0769498045700225
117,1.1229047795841876,0.9638938507436879,0.9705645767312218,0.953995106170344,0.916408202885896,0.9041282789800035,1.8866540488026269,1.3792068806893412
118,0.8119056922085844,0.7751537119177941,0.7663507845750113,0.7591441761358897,0.7383113442751805,0.7338224033357623,1.044027777965974,1.2809666574535896
119,1.271561392010346,1.2240498442822725,1.1913305246773422,1.1629215306794267,1.1713803519142238,1.1593984548084286,1.449963930361171,1.7057923194287885
120,1.5435383410625694,1.2997663599879856,1.246826802063604,1.1921057324982522,1.1453241101824811,1.1207799966803453,1.581911779415784,1.6272429782084452
121,1.4488111340684964,1.175879176081556,1.1309243803233369,1.0720484845828786,1.0172957174274722,1.0100482443434775,1.3615128705005373,1.366912894254776
122,1.012245981533913,0.960848298682332,0.9539247772119108,0.9448265863173837,0.9085110521636501,0.903793949347756,1.3391935715852332,1.2014874772173427
123,0.9504916391819195,0.8287491182890314,0.8378331046638435,0.7991481917875919,0.7593647894033135,0.7562431015852928,1.543364973696702,1.02538753741248
124,1.1547127033277473,0.9793167456678002,0.9321992635216997,0.8870576502702171,0.8583820216260011,0.8445084896266213,1.130787022739208,1.1694286210227192
125,0.999541420508651,1.0050105931420046,0.9948525482978521,0.9978639009310518,0.9953912030762113,0.9687849590629576,1.4817634992446795,1.2360283797826064
126,1.3869499470918378,1.2000205995114306,1.1526314494253127,1.0949588572357845,1.0465038364456754,1.0389259747215134,1.3565541703515052,1.5149766837893546
127,1.2434887573925246,1.0493008106568482,1.0290956141320777,0.9713119990763438,0.9485686654290475,0.9370316676574032,1.2218039587787175,1.2669307682189648
128,1.312984396105457,1.089301586449131,1.068700582629123,1.0542713191179565,1.0478820530027744,1.0536413227482184,1.4951716954174257,1.2966211331385271
129,1.065039035386069,0.8905677729365973,0.8880273014217177,0.854046467334463,0.8180415926453474,0.8042301635277916,1.1772493256676726,1.1052373741727577
130,1.1193875768631965,1.0930861304372375,1.0628710897357507,1.0461155345971487,0.9730650949859536,0.9560134465599358,1.4445186706637656,1.440447438734262
131,1.317347568715696,1.011291645936288,1.0105479814464602,0.953332360997363,0.9133569338681335,0.899703224352408,1.260141586775637,1.149377362086127
132,1.3404866469429702,1.1068889474219519,1.100196615671421,1.0687904880884487,1.0220145926755673,1.0043604765393643,1.3722649310905808,1.3532880175205
133,1.145931719690463,1.1963446360565324,1.2095926801230232,1.2047822368068974,1.154861153243775,1.1742976488684351,1.4413151436513,1.4912151726053902
134,1.2041560154381916,1.0449988097690064,1.0195531453595343,0.9837922418914609,0.9604655655173172,0.9339851979367392,1.3829353592746036,1.224671936845955
135,1.4763228441768017,1.1976259618669403,1.152099733078161,1.1082436461696386,1.048949409394673,1.0302584814895654,1.2785679319365333,1.3162704132948668
136,1.1134233503934556,1.0103399820926666,1.0021525046978546,0.9918591591899604,0.9754305535617148,1.0048848205241645,1.3810661159407416,1.5211872969710722
137,0.9972915182774181,0.9636562191218496,0.9699676638830804,0.9756498060199633,0.9720242204912329,0.9563971752992226,1.3315590683517882,1.3561938064602963
138,1.2281499600618286,1.0774953838830656,1.0554914527598556,1.0171634944528025,1.0010602695961557,0.9919897007989815,1.4042420759346448,1.5395859724538388
139,1.4317193109999935,1.2410395910415386,1.1521342749644705,1.1056301320703563,1.0565828668472552,1.0376376932424656,1.3623445609466125,1.3423951125912132
140,1.5550097613578464,1.1718072400875639,1.1420188524197552,1.0641383300347687,1.0308552748337525,1.0139598223345503,1.6917190652693257,1.4256204810128597
141,1.1357260558364817,0.8373660885045436,0.8499520425723905,0.7985278535913585,0.7402846336500806,0.7318935868331952,1.466642726389702,1.0066688245382798
142,0.9977675748372289,0.9402074786156587,0.9187068535822589,0.904389205721512,0.8818698888650311,0.8774389890290964,1.0783032043951162,1.129300994491133
143,1.355164584366574,1.130749770119514,1.1121745826342064,1.0649406269445387,1.0109929815427665,0.9928346013483377,1.3672938319763115,1.3681144056823655
144,1.6377166053760424,1.288597489755188,1.1654852285854165,1.109538275416461,1.0485181704084905,1.0329668048069531,1.4200488122705184,1.2926168667986904
145,1.30110659496264,1.1930023197883055,1.1435098425886103,1.1165433712669022,1.0962731563993946,1.0746996812729046,1.4032525033964456,1.2947786271856954
146,1.7030930602128163,1.3567907230578746,1.282574933518394,1.192489568883319,1.1346430430999832,1.1194333139216068,1.3917729365277898,1.321605290877046
147,1.3463334057766472,1.1989741638619962,1.1575094853106296,1.1226579093024511,1.0903479500495543,1.0755673126483782,1.5060763341839245,1.4962193869252371
