,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_wAll,Linear_wAll
0,1.1318105244042433,1.1302830431501416,1.1313817140738123,1.1317585138768789,1.1314594553595083,1.1319778866328087,1.3163828026093856,1.4287482745336662
1,1.112457332548796,1.1140817480876013,1.1146072843775956,1.1154897424424393,1.1159886096056026,1.1156563684298424,1.1394752000694288,1.4135071827409948
2,1.2457314928714731,1.2438986327246904,1.2438705085064028,1.244611518759108,1.2444030136730635,1.2443723565642881,1.4146132425188316,1.2028382698482196
3,1.1833419480565344,1.1755166295878567,1.1798718785630884,1.1778797366478222,1.178537774175003,1.1781078241340275,1.6050617041442594,1.2557375416362393
4,1.2732871105121188,1.2705759502105523,1.2708559707311837,1.2710206720468384,1.2708604851367487,1.2710711162520014,1.00835417108385,0.7931551809422485
5,1.2510466870605725,1.2499858791486433,1.2508969845084756,1.251342087245534,1.250508267654822,1.250921742383364,0.865180192557398,1.173467631941132
6,1.0991117626821831,1.0993580548688942,1.0994657672934969,1.0996415105742063,1.1005938585160582,1.1009833596959295,1.0216705656359104,1.160404342043069
7,1.159951495669801,1.144543417646463,1.1352487150876263,1.1326057300669947,1.1303552564681414,1.130163626600932,1.8359112866701808,1.2433225523849318
8,1.0530111103066042,1.0546847698194346,1.0552843533481795,1.0565285045842936,1.0579914095957323,1.0580165532532815,0.874541776661372,0.9310664604295676
9,1.1628685660012008,1.161768401382734,1.1612446585498792,1.160914164546839,1.1608271160163086,1.160827448722251,0.8188129497909066,0.6901503417534536
10,1.0720123656295206,1.069328784583564,1.0686651578984248,1.068649576109445,1.0685239298890585,1.0686454950986473,1.34586991287436,1.1926667345690474
11,1.3373182748488208,1.337981304338121,1.3376426747610772,1.3376723334141238,1.338045540886832,1.338089787282001,0.8932218962544123,0.6418270854636126
12,1.365703777505266,1.359217998993677,1.3602188207226227,1.360178091729334,1.3604907399832753,1.3608097586833476,1.194218032759431,1.279982457230424
13,1.3162630987752002,1.3137173135721216,1.3132770618454719,1.3128855493420482,1.3131984059283714,1.3130831569182337,0.9350498383382876,1.0408739432202316
14,1.2084017317695894,1.203730691438084,1.2069440942574983,1.2049376584879758,1.2056135574026614,1.206125320707611,1.457489703611456,1.1646031019005136
15,1.3378451318129243,1.3374146893521204,1.337327899344711,1.337553766371275,1.3374789054696803,1.3375014098798168,0.8064491118006414,0.7759731059665996
16,1.2975674868349554,1.2979544624376351,1.297258632032786,1.2970339645198194,1.29769106874925,1.2975387040343307,1.1584232853020382,0.9999427805519332
17,1.005049628896903,1.006064844664906,1.0053966747803484,1.0063218371764726,1.0071249930446202,1.0066217668015278,1.3789789230527216,1.2800246341045436
18,1.1456311273732542,1.143988607289898,1.1446780361579,1.1451771455669284,1.1451533800346314,1.1450182204578927,1.0479467970325949,1.1313724878806903
19,1.1829684427851286,1.1815272626239286,1.1817684165117872,1.1814182272088893,1.181902703560587,1.1819914756885421,1.1890085244029438,1.186020439746691
20,1.3133883229574275,1.3155169523178625,1.315553592843182,1.3153639508683765,1.315155957278915,1.3151215290694027,0.774890567083648,0.6947988600055588
21,1.2182931021786012,1.2140585312962142,1.213047245650425,1.2141490862417268,1.2136624650170704,1.2135432872048082,1.0439216122619397,1.4095884182769802
22,1.323840426317221,1.3226130379283279,1.3233677647964144,1.3233269585422704,1.3233393021971627,1.3232851791104927,0.6988957101901725,0.6790867086337096
23,1.2949276418022817,1.2888594006703724,1.289669915624304,1.2898283555902519,1.2891571066882304,1.2896184650641516,1.6668898066357547,1.3478782536639835
24,1.3273725146186026,1.329478451100901,1.3281543846115198,1.328172247252906,1.3280847066358255,1.3280672784189298,1.117485964562914,0.9466310095666144
25,1.3434778127709734,1.3412365546793326,1.3411017457980934,1.3413283232237023,1.3409677526862664,1.3409933583258857,1.0406933604304192,0.9717143579978136
26,1.298864323171007,1.3005541321142369,1.30018088001449,1.3010234805194347,1.3011118457192201,1.3008450610766922,1.2939330447087207,1.0499508726878188
27,1.3472976163864492,1.3475324139719531,1.348670866643052,1.3490361193025895,1.3492314334178905,1.3492065053036706,0.6366826514301515,0.5611724612624992
28,1.257401082363554,1.2548688981838803,1.2549312309768952,1.2566435037106056,1.256911654672424,1.257508743257021,1.4189660693673505,1.32145080708432
