,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Exp_w200,Linear_wAll
109,0.9401902015122473,0.9350952479010839,0.9348722600687003,0.9343860223473168,0.9379260978713404,0.9386486564072081,1.0304563941204243,1.4038544397271775
110,1.004501554582199,1.0005463084858028,0.9981653719988329,0.997267989578607,0.997670173876505,0.99748023403894,1.0428239291995325,1.6239037699265917
111,0.9188837748427748,0.915039946404132,0.9171121363014761,0.916936173367046,0.9152554043220053,0.9152162196493927,1.0325373191940517,1.2916714883750786
112,0.9919004130234477,0.9898919672295501,0.9849519653727038,0.9835836271516043,0.9872363674416319,0.9878048598973231,1.0406747718404556,1.6403840903836475
113,0.7138714481423089,0.7080221122171262,0.704823574567821,0.7085777136841002,0.7095723308886283,0.7103789456079601,0.7880648257122158,1.168729541512249
114,0.7773854250018215,0.7829586219822912,0.7877151835789631,0.7935573964785823,0.7949622353834567,0.7966775632250053,0.9242453087120028,1.1371523853089005
115,0.709188760508,0.7087090621231112,0.7149370765514689,0.7216320383080745,0.7318256300124375,0.7345436052393215,0.9746584252693452,1.042660764662778
116,1.0759320327777526,1.0629205134638373,1.0610510621287497,1.050031591016796,1.041656054557476,1.0393022714892521,1.0653077354621336,2.0769498045700225
117,0.8875460628480895,0.8624628282717726,0.859348233870175,0.8595634441427187,0.8612289679492169,0.8648912955623537,1.0024087426303137,1.3792068806893412
118,0.7506328100847807,0.7512739381015973,0.752469436116229,0.7525526531246738,0.7501405870699563,0.7477836048123959,0.9847105557069626,1.2809666574535896
119,1.076251155826734,1.0626364139270004,1.057175731366069,1.0609015304438845,1.0569086871088067,1.0608599707109816,1.198739705524169,1.7057923194287885
120,1.1209022675839622,1.1036224484436776,1.0998174793556834,1.100189257929832,1.0998471312237006,1.0996525121841059,1.132027947574366,1.6272429782084452
121,0.9622845637716797,0.9538276829638102,0.9532059435218252,0.9535381487090325,0.9588383606221943,0.9573733657685114,1.0615944302220388,1.366912894254776
122,0.8797603471851497,0.8750584150370588,0.8806293013783373,0.8860200041979772,0.8894270634192736,0.89227660579166,1.0733573810508652,1.2014874772173427
123,0.7584631984842236,0.7594227326536336,0.7619995759357929,0.7653015294964762,0.7684080999175825,0.7726047297579398,0.9595095319694302,1.02538753741248
124,0.7688520259564009,0.7716585547156737,0.7730190487878802,0.7665385452973589,0.7646258656286308,0.7642286382761885,0.8288033140451156,1.1694286210227192
125,0.8677227332152955,0.8754101804395327,0.8774223457792698,0.8879715455128114,0.9044137808021223,0.9165552605643734,1.1423413953253203,1.2360283797826064
126,0.9701181691512019,0.9715616003889668,0.9701803573497608,0.9697054457717176,0.9728076512058431,0.9726680861182108,1.0213570806859016,1.5149766837893546
127,0.9397949896701006,0.938919353000681,0.9379330051204265,0.9386658880918038,0.9397640256570496,0.940756816496646,1.1051049132940267,1.2669307682189648
128,1.0490189588848704,1.036225272011787,1.0354963894458888,1.036715196956684,1.0390340138363847,1.039898117400964,1.11741616713282,1.2966211331385271
129,0.7896928885237241,0.7757572399135594,0.7767198914125684,0.7740973326665912,0.7746646731895293,0.7751526152461885,0.8633032395114989,1.1052373741727577
130,0.9669001718167851,0.9633458733415368,0.9631758015382172,0.9610978384015819,0.9603029197919365,0.958166816704085,1.091886306198994,1.440447438734262
131,0.8475616223677002,0.8358176465526836,0.8342998277232276,0.8308577600223918,0.8288118414532777,0.8283875394006057,0.8846541147261234,1.149377362086127
132,1.008525991991647,0.9914356300574944,0.9873916184336691,0.9900966358194717,0.9902280116508879,0.9904078709819524,1.1153996686569696,1.3532880175205
133,1.0717325635485169,1.070040406846467,1.0683832998633345,1.0702972858227864,1.0673708562320294,1.0673967095546806,1.1056074570232142,1.4912151726053902
