,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Exp_w200,Linear_w200
0,1.175456713353955,1.1181309332761402,1.0819322175568598,1.0597320297167536,1.0659304050308978,1.0542499150587006,1.0531671389017163,0.9944316148451366
1,0.8947149235643365,0.9139844426939563,0.9475882304682631,0.9908800148650865,1.0240783732943493,1.0059729951656988,1.052613455781756,0.9175121280752506
2,1.1084050311978173,1.0677691036338732,1.0926984199754473,1.1028109622001188,1.070659948355203,1.0672311364523381,1.10455409287666,0.9864384003719894
3,1.3083706545750735,1.1647444922885177,1.120364390375565,1.0759092286637235,1.03143553243768,1.0360558605497698,0.9540723070690638,1.0035848059494363
4,1.4644276893111106,1.1817305631314623,1.1942068507123715,1.15084615340642,1.1311405172439581,1.1271997736314516,0.8594164214352034,0.7594320380324499
5,1.226921616015879,1.164093649203888,1.2421646936487785,1.2585407160520516,1.2313517598761283,1.2312045147821638,0.8319867604724309,0.7984581542314214
6,0.5602386018175565,0.6566291125436804,0.7464569581896507,0.871098393892972,0.9945105578859134,1.0212803240764592,0.988109273899571,0.9361003343354968
7,0.4009348455791075,0.4928709116037338,0.5796000224824294,0.7023502208151065,0.8622448701503969,0.9614812592779299,1.0774411764216432,1.1040442464348543
8,1.1685834417229355,1.0006872799336757,0.9734680213730451,0.940772754102563,0.9172408101124816,0.9054643619256025,0.9079752951989348,0.7357392668775611
9,1.2322486796999226,1.0179973291920732,1.0264042058361247,0.9859920217625816,0.9531977436568426,0.9436275484408237,0.8908470959013848,0.8109394565575206
10,1.6412319696722486,1.1887822286447158,1.1418650139074225,1.0826981532895954,1.026550260164798,1.013499955752502,1.196791856540405,1.0416725580526498
11,1.505924033021614,1.1448742970821675,1.1324262677125196,1.1044377397895115,1.078541648930399,1.0609836086323894,0.7755220117336727,0.6838984844905359
12,1.8516640083855127,1.0980563490167259,1.2018108595658723,1.0940878021415146,1.0286052599488191,1.0172784671867041,0.9818053935280188,0.9016003949362192
13,1.4575891884256935,1.1772703495141827,1.1717661073401902,1.1297658010658966,1.0978738763078422,1.081481989686926,1.1038667199231744,0.905718160920222
14,1.4849533659499676,1.1028512574734,1.1431705030952652,1.0812251608692298,1.041696355663994,1.0327197440983007,0.8528411797096002,0.8480028176078979
15,0.7780848963836653,0.7580512771490049,0.8398962041849131,0.9675782874590237,1.1061503856242059,1.1354871898860255,0.7046805242402451,0.707986976188956
16,0.9440449954412287,0.9116282330974532,0.9558902158090279,0.9979018474119552,1.0416630493688879,1.0584556542065777,0.945526027256959,0.9975687070583176
17,1.1978065026072189,1.0979808855377926,1.0729037732646893,1.0515389183708848,1.037660309773182,1.0308521044417573,1.0249425143288058,1.0086186066056595
18,1.4925709791653636,1.1202353848071276,1.153288417219917,1.0838505132691014,1.0448180172675396,1.032935969257497,0.9849124621707124,0.9119450166752824
19,1.1780652737802826,1.1679477795070328,1.1831369143332944,1.1548471977836392,1.1645618353558178,1.1578794230317184,1.068008712456159,0.9871760026359578
20,1.055913397081926,0.9632377558315539,1.023440821377813,1.0624950996495113,1.1404490282953195,1.1510618513895001,0.7447535926438978,0.6885893877761972
21,1.4880413987582846,1.2029544536034606,1.1791743984665568,1.1443625988660686,1.112850136008975,1.1067395297965459,0.9190720755122808,0.88417160353128
22,1.3493045343543426,1.01772154348876,1.1011894056662312,1.0742935591751006,1.0404048712823062,1.0414467948839763,0.6746507336781135,0.7258314670919596
