,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_w200,Exp_wAll
208,1.4380075726102899,1.1472176719194789,1.098045236583031,1.0518167858164067,1.010656938880941,1.009658700194379,1.0855301471751462,1.127001873294032
209,1.3440004883017609,1.1362747126450348,1.0980406250220855,1.0641698905077777,1.0387312105290893,1.0200579988145573,1.0554228259262783,1.235489146045401
210,1.2809890264227608,1.104427819541898,1.0585713698842552,1.0220871719014897,0.9958860149586145,0.9885779955310642,1.029426172670788,1.125461441299745
211,0.7054121389427341,0.6613644843175683,0.6584341298510826,0.635046308357508,0.6268797145954828,0.6298539670990319,0.7169023460800444,0.7729937814350372
212,1.1525566084697727,1.115630860523348,1.1194343997057743,1.1007385748444778,1.0618770882957476,1.0684918515702044,1.0711165950625303,1.2504513174730685
213,1.3373900620093089,1.1739188642669631,1.1512914019778067,1.1032001526680988,1.0840259868683322,1.0970231957702516,1.1591585397075077,1.3952869571287208
214,1.3435856284337115,1.2086117784046484,1.1734111082359007,1.16957884172881,1.1540009139342373,1.133789223548017,1.151934881914456,1.2379583696995915
215,1.197503492889782,0.9944315833954595,1.0095726631264315,0.9825044032060873,0.9439787517031781,0.9315299252772956,0.9556583994239336,1.0052891447822434
216,1.3391673419736603,1.10899435594322,1.1031706073706293,1.0885814283060893,1.047454729024028,1.0395113068953707,1.0999213252692297,1.1899657279925564
217,1.649545482980732,1.4441487957073729,1.3755821889782862,1.308881860362084,1.3093617142636493,1.2615660951259917,1.3067272951968911,1.3363380517142298
218,1.0837032104763682,1.0100863025171443,1.0148405554508466,1.000204816228119,1.013318231052988,1.0070282481558948,1.0275888452050412,1.1145414217137333
219,1.0327951135055877,0.9547781233806224,0.9437183715970817,0.9514070916857611,0.96094881161841,0.9849408241320188,0.9955545158596656,1.1310690840441415
220,1.4162846025786004,1.030649598426393,1.0102643592939091,0.9368659762606402,0.8840442027044465,0.8764599871453406,0.980536612672398,1.0429201143728064
221,1.327395982581407,1.0584784279614359,1.0371681471316427,0.9817373238770092,0.9519058091094159,0.944006748016912,1.005324874161541,1.092201094343309
222,1.3682665472154532,1.1365073404306238,1.1368304307630421,1.0873558602884157,1.0505568371245173,1.0281946901800625,1.119029648365937,1.248898741574205
223,1.4130460336255057,1.0216193435549017,1.081366590888,1.0357038803200056,0.993993493880876,0.9888460570533153,1.0414432867779753,1.124146911672265
