,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_w200,Exp_w200
207,0.8767862387092507,0.8746932270904489,0.8758147075031165,0.878198270803716,0.8771168051182906,0.8770241198826217,1.0161066217914372,0.9796386891521972
208,0.9907466586789516,0.9900933573048478,0.9878003213072901,0.9871704993174408,0.987127780568496,0.9870366101671783,1.0855301471751462,1.046618123925263
209,0.9945068103562926,0.9963252337179133,0.996169806782295,0.9953327973929721,0.9953521785476959,0.9950505316410185,1.0554228259262783,1.0706583305499644
210,0.9696939903057082,0.9690319009933832,0.9677548057894174,0.9668691343992997,0.9666114316263695,0.9667497503641178,1.029426172670788,1.017871633537294
211,0.6268128354222965,0.6259871562774965,0.6263930549612802,0.6230373706788676,0.6228550165600117,0.623222542157726,0.7169023460800444,0.766212303540399
212,1.0591571729917466,1.0583768043481658,1.0586879413280648,1.0628583706439465,1.0672715331846494,1.0688099061456384,1.0711165950625303,1.2102379544968622
213,1.1043599113495333,1.0961591776005382,1.097077961189463,1.0982075524208996,1.0978864915766455,1.0970836186270763,1.1591585397075077,1.2755628605520553
214,1.0951788009303551,1.0953613870898304,1.0959759846123889,1.0974019524196972,1.0973545471066393,1.0972086097856142,1.151934881914456,1.1307318883136737
215,0.917397287686213,0.9090497310783807,0.9115028029973119,0.9115617079150028,0.9116524701804406,0.911793420061061,0.9556583994239336,0.9688387302145228
216,1.0189367258247668,1.0169495768205112,1.0170915865289483,1.0181255810015108,1.0192981971485628,1.0201137933280708,1.0999213252692297,1.0904297503732865
217,1.2265381168074054,1.221284456421023,1.2225188670682345,1.2243473497847628,1.2257057151165265,1.2252555320736407,1.3067272951968911,1.2707951512830866
218,0.9854265025645713,0.9844687040917383,0.9833425934958278,0.9836797847258472,0.9849915313779439,0.985416460070723,1.0275888452050412,1.0720034043104014
219,0.9492599944431515,0.9531108445310897,0.9545502911111821,0.957785262189213,0.9600935989710483,0.9610555423474848,0.9955545158596656,1.0789810475524522
220,0.9188450473527722,0.9165199851627893,0.9166111398817824,0.9172447530142087,0.9173305648814036,0.9171036821366345,0.980536612672398,1.018338349032572
221,0.8976835237211902,0.8914341152330626,0.8917499686295056,0.8929283310340318,0.894349829009369,0.8937444554713215,1.005324874161541,0.9709202274714156
222,1.010057142143518,1.0042171684751169,1.0053394046551136,1.004975608051905,1.004374661907799,1.0039736267726582,1.119029648365937,1.0789617128227824
223,1.0014427198304947,1.0032993687577465,1.0066237663608628,1.0087551756237727,1.010108978825896,1.0104117668343937,1.0414432867779753,1.1128735363738769
224,1.0268758284866157,1.0303193161305453,1.0292433729400006,1.030617746556831,1.031138055640179,1.0314550938839848,1.1011713381641,1.1209096151924876
225,0.9345679368682026,0.9366488035881747,0.9387283924465135,0.9410408998988856,0.9442989510391135,0.9433931795266725,0.9871313080439414,1.0547174382468307
226,0.8292783208313906,0.8244915514119443,0.8234241546750373,0.8233496327680474,0.8230860129868095,0.8224477664880651,0.8865915496157162,0.9170808145705834
227,1.0740238038251655,1.0682907732089495,1.069473228575767,1.06802541970197,1.0674494844666245,1.0675610785212275,1.108452241680192,1.185759162140737
