,info,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,No_weighted_LGBM_1_RMSE,No_weighted_LGBM_2_RMSE
0,Plain_w200_Plain_wAll,0.9892042091036539,0.8807976749360281,0.8703873967850214,0.8544682489126262,0.8392658506975473,0.8331983985397021,0.9097492510571402,1.1716977772822035
1,Plain_w200_Exp_w200,1.01895440196826,0.8910087356908192,0.8953893646567772,0.8835970270718417,0.8740185857580406,0.8721750605495846,0.9097492510571402,0.9746102570435963
2,Plain_w200_Exp_wAll,1.0108985418088696,0.8892009803050105,0.8823741234148472,0.8638284844088502,0.8480498677547195,0.8432665140765607,0.9097492510571402,0.9733212616952914
3,Plain_w200_Linear_w200,1.022958915415852,0.8917356961292938,0.8915298617113802,0.8722604604197514,0.8561087980896005,0.8510315217593721,0.9097492510571402,0.9098373299524036
4,Plain_w200_Linear_wAll,0.9785861941814094,0.8751506406582135,0.8631471873978173,0.8469070347559295,0.8313251448323775,0.8251805980479685,0.9097492510571402,1.0933191189736757
5,Plain_wAll_Exp_w200,0.9856608042102992,0.8930631630522978,0.8929743320241582,0.8886499186387593,0.8821973429179519,0.8806422986513079,1.1716977772822035,0.9746102570435963
6,Plain_wAll_Exp_wAll,1.007786261610918,0.9089479218809545,0.8919297912614045,0.8692275601396099,0.846832310197779,0.8394751774269884,1.1716977772822035,0.9733212616952914
7,Plain_wAll_Linear_w200,0.9890314307165667,0.8817414672323522,0.8717693458468224,0.8565072022623131,0.8417422123594094,0.8358387565191847,1.1716977772822035,0.9098373299524036
8,Plain_wAll_Linear_wAll,1.023742951215133,0.921707579552281,0.8888589917145473,0.8552501628003621,0.8249358320529169,0.8129440227556052,1.1716977772822035,1.0933191189736757
9,Exp_w200_Exp_wAll,1.021013763346341,0.9015773461184707,0.901367722079706,0.8911562024802031,0.8825050640068771,0.8811184808668048,0.9746102570435963,0.9733212616952914
10,Exp_w200_Linear_w200,1.023008572101783,0.8937610153316904,0.8983254369393737,0.8861139980147235,0.8762772162398358,0.8745312639522456,0.9746102570435963,0.9098373299524036
11,Exp_w200_Linear_wAll,0.9721247477585286,0.8852079200187783,0.8838480935764471,0.8791361923593075,0.8718527753690559,0.8699263380936106,0.9746102570435963,1.0933191189736757
12,Exp_wAll_Linear_w200,1.0146173777557819,0.8915771341583982,0.8847407204254553,0.8659688833833806,0.8502082799818581,0.8455383673121895,0.9733212616952914,0.9098373299524036
13,Exp_wAll_Linear_wAll,0.9987049339799882,0.9018270312067902,0.8837871235137454,0.8607917156500625,0.8380836186503983,0.8307865846845831,0.9733212616952914,1.0933191189736757
14,Linear_w200_Linear_wAll,0.9780644168732257,0.875649467608105,0.8641478268636679,0.8485742971079762,0.8333951479540639,0.8274000692091897,0.9098373299524036,1.0933191189736757
