,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_wAll,Linear_w200
5,0.9686430885263968,0.9655881144564754,0.966515809354112,0.9666272667190914,0.9652814193341053,0.9655079440687978,1.293706467058974,1.0323963272219774
6,0.924324960386788,0.9218201440151321,0.9176965878778262,0.9178966281522201,0.9172817879774031,0.917267802031276,1.4813901411722823,1.0461068569154413
7,1.0260932503816933,1.0306211830788234,1.02688728002825,1.0280049520721286,1.0278720359639466,1.026207011848882,1.4531958815570107,1.0853624869107543
8,1.001608445596681,0.996286289693913,0.9998036498313484,0.9993444711937911,0.9975118297353114,0.9977991184118254,1.399094915733402,1.0965138265690078
9,1.0434422886043424,1.0338014710455432,1.0255220346643479,1.0289476997399971,1.0289141979558434,1.0279752416579817,1.4355614889087187,1.0538557409811018
10,0.8856865844269283,0.8818745244161325,0.8813835752166947,0.8837016100993644,0.8821249398403552,0.8829270020384385,1.2185649842402149,0.9549140193209418
11,0.7977665038058169,0.7921824808256431,0.7998830552792537,0.7936426438676683,0.7973870814027506,0.7998989739597314,1.6427807063302595,0.890984587056354
12,0.988724584696788,0.9867720275724732,0.9841045446905142,0.9816863175049976,0.980157956845867,0.980280314438327,1.6400285649241535,1.012383485142314
13,0.9901396269058794,0.9779726134091201,0.979985065110885,0.9768640854317459,0.9752185927184588,0.9755575404227643,1.3224281398597475,1.03129778405314
14,0.9848879701825425,0.9663748709468849,0.9636231718970688,0.963299282414662,0.959085914061746,0.9593637977532248,1.7076290877515534,0.9802937298250844
15,1.1091140703300353,1.0977166003397036,1.0925914226099467,1.0920502280714206,1.0944271629612785,1.096602897211176,1.4792761992291263,1.2499321692389729
16,1.0968730224965633,1.0952113099343526,1.0933593735462042,1.0908849499181286,1.0896534510975138,1.0887776735677683,1.4681893418405112,1.117039965789636
17,0.7427082047284738,0.7451155716811397,0.7434026167684006,0.7412529401371526,0.7418972911223564,0.7433660046594187,0.9851621649320724,0.8880596821378275
18,0.9807735704234474,0.9764379241634864,0.9758328812792324,0.9760089293355426,0.9759988807175998,0.9774255008350323,1.5108635386905096,1.0412547724583527
19,0.887903200356648,0.8822065500530276,0.8843421566159869,0.8873060274776581,0.8869331829934716,0.886911964959712,1.2840014660465584,0.9640056907048612
20,0.987219046673736,0.9869735900731337,0.9844000082974058,0.9811808325487287,0.9811287119512436,0.9811942602466833,1.6841273761917364,1.0595324102828112
21,0.773368220479917,0.7685861508395743,0.7701665942599748,0.7710354273362844,0.7738522950245222,0.773373215241453,1.089022182640237,0.8504996122613311
22,0.9784794981988635,0.9759106776217138,0.9788131923718743,0.979070894103168,0.9770935390194052,0.9789874047895506,1.3672790837247026,1.0301694860067918
