,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Exp_w200,Linear_w200
0,0.8349679689599114,0.8357362212926717,0.8363766668331015,0.836826763377395,0.8368990770386081,0.8369715057102399,0.9301149868309844,0.8691605594928182
1,0.994436713880623,0.9769464496853197,0.9780612727079935,0.975903408612579,0.9731491350120056,0.9730278348954731,1.0548871881610495,1.0210000810095974
2,1.0246164487456293,1.023748852794688,1.02376805290118,1.0234324602351725,1.0228462868562571,1.0226607138819184,1.063919609732911,1.1571853785380557
3,0.9727251991748858,0.9615971018151902,0.9606094879400388,0.9591281887209262,0.960802939654409,0.9598169255773483,1.1075425474655625,1.0106410682614402
4,0.9914690449940359,0.9728535370630865,0.974278734197771,0.9731014531135844,0.9767643656198427,0.9757421124951869,1.2535463032886052,1.004964282208774
5,0.9972029005159021,0.9767517916218297,0.9763809240814793,0.9758476515068438,0.9759858984055251,0.9756693441206862,1.1501441729612578,1.0323963272219774
6,0.9062365571525145,0.9049697753304206,0.9027574480214765,0.907699549272422,0.908961918976843,0.9090532942281296,1.0492870158549537,1.0461068569154413
7,1.0192901005772994,1.018853214442861,1.0192139685763135,1.0194791516909472,1.020671055298803,1.0203545415453865,1.1067004120118766,1.0853624869107543
8,1.0030791138218231,1.003335908160928,1.0041752113614926,1.0039871774613105,1.0047717504838363,1.004982267498311,1.0568303240711128,1.0965138265690078
9,0.9841686383642099,0.9851855325153384,0.9858244589343943,0.9854363927643001,0.9851227044989069,0.9850300247390735,1.0555834801574024,1.0538557409811018
10,0.9351247959883261,0.9407774125620141,0.9419589911264188,0.9439180240176513,0.9448069412989757,0.9452707408427523,1.043809914546317,0.9549140193209418
11,0.775682132384872,0.7716197541209435,0.7740522597646436,0.7782967113706158,0.7927903590549367,0.7971787998349161,0.9200641933632808,0.890984587056354
12,0.9739751530579019,0.9705531132985395,0.9728435195917468,0.9742457102506026,0.9738803173166966,0.9746551664781072,1.0755129296095722,1.012383485142314
13,0.9492294246961982,0.9489948370902678,0.9488588202116883,0.9486069026903586,0.9484305146284444,0.9483985612120238,1.0265179146924006,1.03129778405314
14,0.960458081874454,0.9515327705985305,0.9508709180984805,0.9518341095011353,0.9529762980357538,0.9523423667686185,1.0655969842302948,0.9802937298250844
15,1.119430641627633,1.1177163805428882,1.1190863630728842,1.11946057900227,1.1194170031025292,1.119829554529729,1.1905561432304097,1.2499321692389729
16,1.0875798310403426,1.086686289503582,1.0863829109005347,1.0864218984355374,1.0860099678587003,1.0859747287772374,1.1261063433481966,1.117039965789636
17,0.8261738138804172,0.8270407227950933,0.827146119928695,0.82790302437643,0.8282805674172263,0.8287300606093024,0.8939695927169237,0.8880596821378275
