,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_wAll,Exp_wAll
14,1.0068353426059682,0.99593013248357,0.9915397807898022,0.9876797407359269,0.9831139199438168,0.9839240548443129,1.7076290877515534,1.1472719344848172
15,1.1444032059521945,1.1215033930629603,1.119922654340631,1.1203264493851386,1.1230004609965876,1.1231344854764391,1.4792761992291263,1.3158959617601198
16,1.1048484710492967,1.1059301266948383,1.1020498126142582,1.0981687371945303,1.0969076731824505,1.096254660466061,1.4681893418405112,1.2010790234685116
17,0.74000244248315,0.7363369466837476,0.736930941710188,0.7402292060899327,0.7471437551927069,0.7491749090065768,0.9851621649320724,1.0293234888912377
18,0.9984965761266273,0.9843361871022592,0.9874717871454842,0.9880488455884908,0.985522126803151,0.9837992160158123,1.5108635386905096,1.097085689150574
19,0.8965670977674545,0.8894051842902605,0.8920771948103572,0.8958915361377943,0.8933834939900401,0.8934408464063264,1.2840014660465584,1.0743335912683545
20,1.0109920439090145,1.0012814130220484,0.9976406358482862,0.993548469680683,0.9995397290323927,1.0007468016521113,1.6841273761917364,1.1932444755049374
21,0.7805822979412,0.7746013116248295,0.7797004276931975,0.7793839522825513,0.7824213205370171,0.7821536802268421,1.089022182640237,0.9534769650626154
22,0.9909455221787153,0.9931725973344105,0.9957019100104231,0.9986491353442686,0.9956334804498883,0.9960371939657258,1.3672790837247026,1.1301101490707703
23,1.110089234446009,1.1104117385532422,1.108746645109348,1.1084579461449724,1.1081472936133319,1.1091974698560243,1.5118609516511758,1.249831422172769
24,1.0951895027170424,1.0896600801561098,1.0921014861049259,1.0926013251950604,1.0886676944938747,1.0895207413332362,1.3866777539434123,1.2990514397245667
25,1.0220165765321125,1.0064143381194544,1.0086352732021586,1.0042562822031134,1.002896866047508,1.00180535009786,1.7523513968376856,1.2152441558374276
26,1.0385610091601496,1.0348353121744527,1.0324918014819708,1.0343313610934437,1.0363095717685709,1.0388232192814644,1.4027225390150475,1.1297577213501608
27,1.0216828299133751,1.0159640022242191,1.0185920876906527,1.0148126802754673,1.0155323916422394,1.01595708276081,1.336265372158262,1.1645614425951023
28,1.1800629544872787,1.134462881201034,1.1080702755595668,1.084621076580388,1.0787828764522571,1.0711545790112735,2.865187986007608,1.10656273163041
29,1.050181741983198,1.0491923403073344,1.0446901847552121,1.0470490323159594,1.0450017123556214,1.0434426968920705,1.6131189194786089,1.1167591424363217
30,1.0208405436587167,1.0086832777346764,1.008344845326866,1.008028157877173,1.0098364811728435,1.0082988560659734,1.4157436143012725,1.161210839886799
31,0.9128962987537126,0.9107100743642792,0.9107785583169743,0.9141993966059905,0.9139689363047451,0.913984970427389,1.3839166932850646,0.9655821917452916
32,0.937628133941675,0.9377980683618676,0.9330575462444141,0.9313097389937011,0.9351227343090052,0.9353147499609129,1.3727736351144155,1.1011110752019206
33,1.0376048356547931,1.0331263995740274,1.0241130582930404,1.0247065486670628,1.0237295236208506,1.0221600609282375,1.3650204544475444,1.191542882888299
34,0.9577326385533456,0.9468772104605542,0.9528137151850716,0.9475252515623416,0.9468439184339819,0.9469969992667319,1.3068993519388843,1.1605447530188169
35,1.160315546044966,1.1415657354659536,1.1364815033502693,1.1367894470328548,1.1324878534908027,1.1340521573600393,1.7813915918912837,1.2852666763256917
36,1.007083614282986,1.0044613544920742,1.0071150706433025,1.0077872066077262,1.0063026911747261,1.0059017771793275,1.7512640002134654,1.1744640672514044
37,0.8466500513969503,0.8439008934946509,0.8464324008911203,0.8483414007628319,0.8473749211526072,0.8464638694211875,1.2655296865025347,0.9149000959840446
38,0.993669822529376,0.9896812624137747,0.9830882166447257,0.9809681784383099,0.9821310199702331,0.9799988117647103,1.340484203985958,1.1163237609015222
39,1.0644911786784337,1.069223882087433,1.0670368940718784,1.068702609413553,1.0663997201477355,1.06577484676615,1.5571170594483617,1.1571161718551932
40,1.028846377261499,1.0269793151422717,1.0243099261224347,1.0215485629443775,1.0200646737399324,1.0187099196803928,1.4507456574793662,1.2102321136903422
41,1.0284870810608087,1.024525489692876,1.0250242562984755,1.0231098178688622,1.0232457630557996,1.0216353183909042,1.4119968820968547,1.2524137591473832
42,1.0662540482546554,1.0579826636965068,1.0568239320419164,1.0595155520890749,1.0616295669910987,1.0639494481979677,1.3597103139387672,1.247871675794731
43,1.0496677541274306,1.0388018711354354,1.0368684897818996,1.0321180565621777,1.03161299054146,1.030062854792583,1.206760659494913,1.1836207092602629
44,0.8632585341415848,0.8680434736743929,0.86174525404195,0.8561119680788768,0.8548295915567026,0.8548378135192349,1.2909065273119529,0.9938939010783316
45,1.0110346062528504,1.0011959016155894,0.9990886752308901,0.9974092156258817,0.9987666992199702,0.999727596198506,1.299306164663171,1.2174098575443353
46,1.0447468418599306,1.0408425690548357,1.0343546684847185,1.0344927428938475,1.035162064976548,1.0365736378245765,1.5574947346434846,1.2098093951052042
47,0.9598625785058793,0.9464315583891348,0.9438425081013813,0.9403344332417849,0.9337189810864062,0.9335511627398908,1.273563257809922,1.0745028942305803
48,1.0611823614985323,1.0564540720672009,1.0483853707512327,1.0493565422333622,1.0444962919643999,1.041593708211664,1.4812812609274637,1.2248838048691346
49,0.9665370312999707,0.9539696992239479,0.9570106403244966,0.9603704464026448,0.9584256946522902,0.9584857390350806,1.5507157094936703,1.2055847527387074
50,1.020566423325129,1.0222667994831138,1.017814040037212,1.0146791220289146,1.0156395201963357,1.0141195606735631,1.4290988805801033,1.1308252228157571
51,0.9183953395155022,0.903696619020526,0.9043606896157328,0.8989386653967023,0.8983570003153168,0.8990634169685794,1.371258707888385,1.049851323909284
52,1.0916407574105838,1.0814404036855128,1.0766267141527122,1.0733232793650884,1.07479145980879,1.0722932053727878,1.5780881053682732,1.2098772959346742
53,0.8882190815009965,0.8898606394424968,0.881929244986906,0.8845112770388063,0.885101797511135,0.8848704030282399,1.0785061164293732,1.2060040461446686
54,1.1483374856446913,1.1195058732880354,1.116120156583109,1.1140172880451884,1.1119902865553326,1.1114906948454457,1.4402785295331055,1.297256399257094
55,0.8670257727697063,0.8616138095597324,0.8552960607154197,0.8588868241248134,0.858655312569272,0.860484075690253,1.5953699904513612,0.9832226326594083
