,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_w200,Plain_wAll
0,1.1240795482081385,1.1222409882350164,1.1209059925906057,1.1198170559097231,1.119453967909065,1.1192990151236912,1.020775631968707,1.3163828026093856
1,1.040434627077549,1.0392516750467569,1.0400183236252576,1.0381808807186086,1.0363206161893814,1.0365612164007205,0.9128012725455144,1.1394752000694288
2,1.219617565012022,1.2123194231879124,1.2145042981355523,1.2153438436038655,1.2169072702171084,1.2167062369807282,0.9973855329295432,1.4146132425188316
3,1.1586024432672222,1.1489232032898684,1.1551386291813206,1.1532382939992456,1.1539418302420525,1.1531255190908365,0.981604925742242,1.6050617041442594
4,1.1878996976877674,1.1810239745882667,1.1824784099254955,1.1820776903269692,1.1822021256520068,1.183157060135135,0.7371644697932602,1.00835417108385
5,1.1956821110728062,1.1983357428625847,1.1986529077173473,1.1983507123480825,1.1993816949807399,1.1987803242755357,0.8286501016660011,0.865180192557398
6,1.0562044533141235,1.05662291231323,1.0565729096214838,1.0566279789023196,1.0585206060010228,1.0586737907065444,0.909703375260432,1.0216705656359104
7,1.1164188494354663,1.0935296709050129,1.087260257889623,1.0813761570425524,1.0838564187341546,1.0858765446854213,1.0970461414693582,1.8359112866701808
8,1.0074522121187564,1.004941125903288,1.0087230898085187,1.008471942005431,1.008101425684215,1.0081596790111669,0.7229925303402795,0.874541776661372
9,1.0412983080298757,1.042558551628888,1.0454119320812276,1.0459398912012492,1.0463274581235829,1.0482256744398974,0.8125442642376788,0.8188129497909066
10,1.0122478569181315,1.0093497680655759,1.0081951545499555,1.0096420957803642,1.011302017130698,1.0102609492433634,1.0669143273806154,1.34586991287436
11,1.2470800404696036,1.2466736233950573,1.2456492401200836,1.2467776956533665,1.2470152739942777,1.247463330587851,0.6892816545195676,0.8932218962544123
12,1.3534085656667545,1.3458081423488262,1.3459855841762638,1.3463884377920663,1.3457412968575673,1.3457173144040862,0.9177932321991368,1.194218032759431
13,1.2073435559160632,1.1998173655220765,1.202534183296444,1.203139800973142,1.2043233036154526,1.2056278328784065,0.8645207005883135,0.9350498383382876
14,1.2175618943604425,1.2015310263347811,1.1995494657548598,1.1966696933991394,1.1959414723938508,1.195733373630649,0.8279633578250707,1.457489703611456
15,1.3014729086020307,1.2925277337540197,1.2934683683789898,1.2938031218383879,1.2939905553126871,1.2942561189226036,0.7096994075700798,0.8064491118006414
16,1.1986594566775812,1.150036194744813,1.149357466973554,1.1459357466640199,1.1475687088108404,1.1493450470012414,0.9814525597397668,1.1584232853020382
17,0.9932935573484319,0.9905342830954402,0.9864056694750137,0.9888019284823404,0.9876149210671066,0.9879088405296358,0.9992425181297588,1.3789789230527216
18,1.0959594669433113,1.0873350729328382,1.0894238987476048,1.090357154849002,1.0912047304348356,1.0913053683360145,0.9223937703988586,1.0479467970325949
19,1.1263078476096533,1.1220977066993414,1.1180577172761317,1.1157750554977146,1.1178846154175648,1.1187226709132922,0.9733368589150168,1.1890085244029438
20,1.2222304390367245,1.211209483037007,1.2121306482965322,1.2146368973008146,1.2177596372443977,1.217565420778384,0.6821462412553491,0.774890567083648
21,1.1609767932210058,1.1563029737979091,1.1572947035790737,1.157944315671689,1.1565988165090055,1.157702967362532,0.902127863143535,1.0439216122619397
22,1.2031001840651994,1.2045603084450334,1.20712629679193,1.2107774811527223,1.2166365474145413,1.2195204595273743,0.7064658459692289,0.6988957101901725
23,1.2742342882843427,1.265316903115353,1.270093588909237,1.2708873369372975,1.2679324606541749,1.2690041768627829,0.9955913031590456,1.6668898066357547
24,1.2596736306520655,1.2538638081216478,1.2570326101546019,1.2604348001202237,1.2607863549266383,1.2610215608788518,0.8481678289201419,1.117485964562914
25,1.2546716982364021,1.2545546803654553,1.257737659039062,1.2563426342793629,1.2573983193529563,1.2577580680456089,0.8279711621696662,1.0406933604304192
26,1.310962388407169,1.303113509657298,1.3028239916322115,1.3027704807962213,1.3028093813484574,1.3026486009357123,1.0047277119847378,1.2939330447087207
27,1.2832003841574278,1.2733824426506744,1.2748786152404288,1.2768811544462233,1.278361319939001,1.2789759249272945,0.5995294398230979,0.6366826514301515
28,1.2400063494808822,1.2386890987602162,1.239042807694335,1.2392124510477274,1.2401770452447285,1.240151684330902,1.072351139227503,1.4189660693673505
29,1.024034938255577,1.02711236539603,1.0230502812043065,1.022958407392031,1.0240781901743736,1.023538270166541,1.1014284756348285,1.4282799101773778
30,1.1078495471602936,1.1006234149333312,1.096840810790991,1.0920403406203631,1.0907965052320128,1.0880354118996574,0.7292593674456042,1.8852790643665365
31,1.5320165832350732,1.5354460841967035,1.534825237332326,1.535128793991382,1.535160500052193,1.5351982946139235,0.9627402015910436,1.124733389970648
32,1.1226138420118912,1.12669260532245,1.1254879328501621,1.1245719212292713,1.1241223415449133,1.1244752325001748,0.8954843326527943,1.0297106573910444
33,1.0827536415494199,1.0777684823625602,1.0802039511979689,1.0798436876657846,1.0802641362900676,1.0794289513810427,0.6963665312987692,0.893781715232996
34,1.0777950906847193,1.066239157472308,1.0681230777590842,1.0643921681806612,1.0628623800901036,1.0617128709254369,0.8668179668206974,0.9333644029518192
