,info,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,No_weighted_LGBM_1_RMSE,No_weighted_LGBM_2_RMSE
0,Plain_w200_Plain_wAll,0.9608430072098699,0.9555428917793081,0.9541529829973102,0.9529916814676339,0.952685755903676,0.9527267080447214,1.0261048165342148,1.4738198784024106
1,Plain_w200_Exp_w200,0.962742344027547,0.9601673823140149,0.9602156953979685,0.9606931280446706,0.9615280729327489,0.961974582427361,1.0261048165342148,1.0695833568973294
2,Plain_w200_Exp_wAll,0.9565253979861627,0.9541944169632671,0.9539212489774342,0.9539239408186891,0.9543531279803622,0.9545158441467803,1.0261048165342148,1.1252475829557715
3,Plain_w200_Linear_w200,0.948827775759172,0.9487596938390763,0.9488106811453556,0.9488242795769213,0.9488634622069538,0.9488849294451112,1.0261048165342148,1.0203971313806417
4,Plain_w200_Linear_wAll,0.9507127036327435,0.9473610309162875,0.946421586866318,0.9461655140691976,0.9463641475524185,0.9466415320976032,1.0261048165342148,1.3983270588253582
5,Plain_wAll_Exp_w200,0.977541081932307,0.9698923190052434,0.968664046121715,0.9676507725383352,0.96765639492028,0.967866773221873,1.4738198784024106,1.0695833568973294
6,Plain_wAll_Exp_wAll,0.9776476946706641,0.970400691160286,0.9686165281328507,0.9666590016136527,0.9655795195817567,0.9652628022330012,1.4738198784024106,1.1252475829557715
7,Plain_wAll_Linear_w200,0.9611867002613829,0.9556479262967198,0.9542660721953498,0.9530536360017288,0.9527863631812149,0.952830555315927,1.4738198784024106,1.0203971313806417
8,Plain_wAll_Linear_wAll,0.9916579933358366,0.9889400521652939,0.9879690616576429,0.9870542951878238,0.9865573509306208,0.9863726396834795,1.4738198784024106,1.3983270588253582
9,Exp_w200_Exp_wAll,0.9857619562715562,0.9831215344177687,0.9828995746584809,0.983332327675535,0.9840528223328849,0.9843255046028375,1.0695833568973294,1.1252475829557715
10,Exp_w200_Linear_w200,0.9660965020357298,0.9642083917147068,0.9643469968162732,0.964861357969999,0.9656501902006195,0.9660239453347418,1.0695833568973294,1.0203971313806417
11,Exp_w200_Linear_wAll,0.9663650875022922,0.9604363650460401,0.9597039071841402,0.9595028027359662,0.9599854579607525,0.960416794115215,1.0695833568973294,1.3983270588253582
12,Exp_wAll_Linear_w200,0.9602359043552304,0.958431549898416,0.9582147969249911,0.9582628927585989,0.9587261233357606,0.9588528488100456,1.1252475829557715,1.0203971313806417
13,Exp_wAll_Linear_wAll,0.967647447991275,0.9626795024518051,0.961522395697785,0.9604100718765551,0.9599560439648424,0.9598930746321702,1.1252475829557715,1.3983270588253582
14,Linear_w200_Linear_wAll,0.9508739681833966,0.9473971583129821,0.9464898939957243,0.9462045888732382,0.9464273870486382,0.9466901405235433,1.0203971313806417,1.3983270588253582
